logical,basis_state,real,imag
0_L,00000,0.25000000000000006,0.0
0_L,00011,-0.25,0.0
0_L,00101,0.25,0.0
0_L,00110,-0.25,0.0
0_L,01001,0.25000000000000006,0.0
0_L,01010,0.25000000000000006,0.0
0_L,01100,-0.25000000000000006,0.0
0_L,01111,-0.25000000000000006,0.0
0_L,10001,-0.25,0.0
0_L,10010,0.25,0.0
0_L,10100,0.25,0.0
0_L,10111,-0.25,0.0
0_L,11000,-0.25,0.0
0_L,11011,-0.25,0.0
0_L,11101,-0.25,0.0
0_L,11110,-0.25,0.0
1_L,00001,-0.25,0.0
1_L,00010,-0.25,0.0
1_L,00100,-0.25,0.0
1_L,00111,-0.25,0.0
1_L,01000,-0.25,0.0
1_L,01011,0.25,0.0
1_L,01101,0.25,0.0
1_L,01110,-0.25,0.0
1_L,10000,-0.25000000000000006,0.0
1_L,10011,-0.25000000000000006,0.0
1_L,10101,0.25000000000000006,0.0
1_L,10110,0.25000000000000006,0.0
1_L,11001,-0.25,0.0
1_L,11010,0.25,0.0
1_L,11100,-0.25,0.0
1_L,11111,0.25000000000000006,0.0
