physical_error_rate,qec_logical_infidelity,bare_physical_infidelity,qec_recovered_fidelity,bare_recovered_fidelity
0.0,3.3306690738754696e-16,0.0,0.9999999999999997,1.0000000000000002
0.001,6.651863700857241e-06,0.0006666666666665932,0.9999933481362991,0.9993333333333334
0.005,0.00016482221234614958,0.0033333333333332993,0.9998351777876539,0.9966666666666667
0.01,0.0006519700543217155,0.006666666666666599,0.9993480299456783,0.9933333333333334
0.015,0.001450597600000103,0.009999999999999898,0.9985494023999999,0.9900000000000001
0.02,0.002550034330865092,0.013333333333333308,0.9974499656691349,0.9866666666666667
0.03,0.005609523200000632,0.019999999999999907,0.9943904767999994,0.9800000000000001
0.04,0.009748535624691579,0.026666666666666394,0.9902514643753084,0.9733333333333336
0.05,0.014887901234567957,0.033333333333333215,0.985112098765432,0.9666666666666668
0.06,0.020951142400001066,0.039999999999999925,0.9790488575999989,0.9600000000000001
0.06999999999999999,0.02786443630617308,0.04666666666666641,0.9721355636938269,0.9533333333333336
0.07999999999999999,0.03555657702716086,0.05333333333333312,0.9644434229728391,0.9466666666666669
0.09,0.043958937600000025,0.05999999999999972,0.9560410624,0.9400000000000003
0.09999999999999999,0.05300543209876585,0.06666666666666643,0.9469945679012342,0.9333333333333336
0.10999999999999999,0.06263247770864255,0.07333333333333325,0.9373675222913574,0.9266666666666667
0.12,0.07277895680000046,0.07999999999999985,0.9272210431999995,0.9200000000000002
0.13,0.08338617900246992,0.08666666666666645,0.9166138209975301,0.9133333333333336
0.13999999999999999,0.09439784327901302,0.09333333333333327,0.905602156720987,0.9066666666666667
0.14999999999999997,0.10575999999999997,0.09999999999999998,0.89424,0.9
0.15999999999999998,0.11742101301728447,0.10666666666666624,0.8825789869827155,0.8933333333333338
0.16999999999999998,0.12933152173827156,0.11333333333333317,0.8706684782617284,0.8866666666666668
0.18,0.14144440319999996,0.11999999999999977,0.8585555968,0.8800000000000002
0.18999999999999997,0.15371473414321024,0.12666666666666648,0.8462852658567898,0.8733333333333335
0.19999999999999998,0.16609975308641967,0.1333333333333332,0.8339002469135803,0.8666666666666668
0.20999999999999996,0.1785588224000001,0.13999999999999968,0.8214411775999999,0.8600000000000003
0.21999999999999997,0.1910533903802476,0.1466666666666665,0.8089466096197524,0.8533333333333335
0.22999999999999998,0.20354695332345707,0.15333333333333332,0.7964530466765429,0.8466666666666667
0.23999999999999996,0.21600501760000035,0.15999999999999992,0.7839949823999997,0.8400000000000001
0.24999999999999997,0.2283950617283952,0.1666666666666664,0.7716049382716048,0.8333333333333336
0.25999999999999995,0.24068649844938306,0.17333333333333323,0.7593135015506169,0.8266666666666668
0.26999999999999996,0.2528506368000003,0.17999999999999983,0.7471493631999997,0.8200000000000002
0.27999999999999997,0.26486064418765487,0.18666666666666654,0.7351393558123451,0.8133333333333335
0.2899999999999999,0.27669150846419777,0.19333333333333325,0.7233084915358022,0.8066666666666668
0.29999999999999993,0.28832,0.19999999999999973,0.71168,0.8000000000000003
0.30999999999999994,0.29972463375802494,0.20666666666666644,0.7002753662419751,0.7933333333333336
0.31999999999999995,0.31088563136790137,0.21333333333333315,0.6891143686320986,0.7866666666666668
0.32999999999999996,0.3217848832000002,0.21999999999999986,0.6782151167999998,0.7800000000000001
0.33999999999999997,0.3324059104395064,0.22666666666666657,0.6675940895604936,0.7733333333333334
0.35,0.34273382716049416,0.23333333333333317,0.6572661728395058,0.7666666666666668
