qubit,error,pauli_label,syndrome,correction,fidelity_before,fidelity_after
0,X,XIIII,0001,XIIII,1.388568934930737e-34,0.9999999999999998
0,Y,YIIII,1011,YIIII,1.6462870113088362e-34,0.9999999999999998
0,Z,ZIIII,1010,ZIIII,3.0814879110195774e-33,0.9999999999999998
1,X,IXIII,1000,IXIII,7.703719777548943e-34,0.9999999999999998
1,Y,IYIII,1101,IYIII,3.0814879110195774e-33,0.9999999999999998
1,Z,IZIII,0101,IZIII,6.770847460736376e-34,0.9999999999999998
2,X,IIXII,1100,IIXII,3.505376003986231e-34,0.9999999999999998
2,Y,IIYII,1110,IIYII,1.6462870113088362e-34,0.9999999999999998
2,Z,IIZII,0010,IIZII,5.89816045468591e-34,0.9999999999999998
3,X,IIIXI,0110,IIIXI,3.908396761078606e-34,0.9999999999999998
3,Y,IIIYI,1111,IIIYI,7.714682205899094e-34,0.9999999999999998
3,Z,IIIZI,1001,IIIZI,6.372819315034658e-33,0.9999999999999998
4,X,IIIIX,0011,IIIIX,2.665089040342042e-34,0.9999999999999998
4,Y,IIIIY,0111,IIIIY,4.344304803221431e-34,0.9999999999999998
4,Z,IIIIZ,0100,IIIIZ,9.058141176966309e-33,0.9999999999999998
